潸	さん:on
潰	かい:on
潮	ちょう:on
潔	けつ:on
潅	かん:on
漿	しょう:on
漕	そう:on
漏	ろう:on
漂	ひょう:on
滲	しん:on
滞	たい:on
滄	そう:on
溺	でき:on
溶	よう:on
溝	こう:on
溜	りゅう:on
湯	とう:on
湮	いん:on
湧	ゆう:on
渾	こん:on
測	そっ:on
渦	か:on
渥	あく:on
渡	わたり:kun
渠	きょ:on
渙	かん:on
渋	しゅう:on
渉	しょう:on
渇	かっ:on
添	てん:on
混	こん:on
淵	えん:on
深	み:on
淫	いん:on
淪	りん:on
淡	たん:on
淑	しゅく:on
涯	かい:on
涜	とく:on
涙	るい:on
涕	てい:on
涌	ゆう:on
浸	しん:on
海	うな:kun
浮	ふ:on
浪	ろう:on
浣	かん:on
浜	ひん:on
浅	せん:on
活	かっ:on
洒	しゃ:on
泳	えい:on
泰	たい:on
泣	きゅう:on
泡	ほう:on
泌	ひ:on
泉	せん:on
泄	せつ:on
沿	えん:on
沼	しょう:on
河	か:on
沮	そ:on
沐	もく:on
沃	よう:on
汽	き:on
汲	きゅう:on
汞	こう:on
汚	お:on
汗	かん:on
汎	はん:on
汁	しゅう:on
永	えい:on
氷	ひょう:on
毫	こう:on
母	は:on
毅	き:on
毀	き:on
殻	かく:on
殴	おう:on
殲	せん:on
殊	しゅ:on
殉	じゅん:on
歿	ほつ:on
歳	とせ:kun
歪	わい:on
歎	たん:on
款	かん:on
欲	よっ:on
欧	おう:on
欣	きん:on
欠	けっ:on
欒	らん:on
檀	だん:on
橋	つはし:kun
模	ほ:on
標	ひょう:on
榜	ほう:on
楚	そ:on
楊	よう:on
椏	つまた:kun
植	うえ:kun
棲	せい:on
森	しん:on
棋	き:on
梯	てい:on
梟	きょう:on
梗	こう:on
梓	し:on
梅	はい:on
桟	さん:on
桐	とう:on
栽	さい:on
格	こう:on
校	きょう:on
栄	え:on
柿	し:on
柳	りゅう:on
柱	ちゅう:on
柄	へい:on
枯	こ:on
枢	すう:on
枝	し:on
果	くだ:kun
析	せき:on
枉	おう:on
束	つつか:kun
杜	と:on
杖	しょう:on
李	り:on
朽	きゅう:on
机	き:on
朶	た:on
木	も:on
期	こ:on
朔	さく:on
朋	ほう:on
曹	そう:on
曳	えい:on
曲	きょっ:on
暮	ほ:on
暫	ざん:on
暗	っくら:kun
暑	しょ:on
暇	か:on
暁	きょう:on
智	ち:on
晶	しょう:on
晰	せき:on
晨	しん:on
晤	こ:on
昨	さっ:on
昧	まい:on
春	とう:on
星	せい:on
昔	せき:on
昏	こん:on
明	りあけ:kun
昌	しょう:on
昇	しょう:on
昂	こう:on
旱	かん:on
旭	きょっ:on
旨	し:on
既	き:on
旒	りゅう:on
斬	ざん:on
斥	せき:on
斡	あっ:on
斟	しん:on
斜	しゃ:on
斛	こく:on
斎	さい:on
文	も:on
斃	へい:on
敷	ふ:on
敲	こう:on
敢	かん:on
救	きゅう:on
攬	らん:on
攪	かく:on
攘	しょう:on
攀	はん:on
擾	じょう:on
擱	かく:on
擡	たい:on
擅	せん:on
撥	はつ:on
撤	てっ:on
撚	ねん:on
撓	とう:on
摸	も:on
摯	し:on
摧	さい:on
搾	さく:on
携	けい:on
搭	とう:on
搗	つき:on
搏	はく:on
揺	よう:on
揣	し:on
握	あく:on
揖	ゆう:on
提	てい:on
揆	き:on
掲	けい:on
措	そ:on
掩	えん:on
控	こう:on
探	たん:on
掠	りゃく:on
掌	しょう:on
掃	そう:on
捻	ねん:on
捷	しょう:on
据	すえ:kun
捨	しゃ:on
捧	ほう:on
捜	そう:on
捗	ちょく:on
捕	ほ:on
捐	えん:on
捏	ねつ:on
挿	そう:on
挽	ばん:on
挫	ざ:on
挑	ちょう:on
按	あん:on
挂	けい:on
拾	しゅう:on
拷	ごう:on
拮	きっ:on
拡	かく:on
拠	きょ:on
招	しょう:on
拙	せつ:on
拘	こう:on
拓	たく:on
拒	きょ:on
拐	かい:on
拈	ねん:on
抽	ちゅう:on
抵	てい:on
抱	ほう:on
披	ひ:on
折	せっ:on
抑	よく:on
把	は:on
抄	しょう:on
承	しょう:on
扼	やく:on
扶	ふ:on
扱	りあつかい:kun
扣	こう:on
扞	かん:on
打	ちょう:on
扇	せん:on
所	そ:on
戴	たい:on
戯	き:on
戮	りく:on
戡	かん:on
戟	けき:on
懾	しょう:on
懼	く:on
懸	け:on
懲	ちょう:on
懦	だ:on
憾	かん:on
憶	おく:on
憲	けん:on
憩	けい:on
憤	ふん:on
憐	れん:on
憊	はい:on
憂	ゆう:on
慴	しょう:on
慳	けん:on
慮	りょ:on
慨	かい:on
慧	けい:on
慣	かん:on
慢	まん:on
慕	ほ:on
慈	し:on
慄	りつ:on
愧	き:on
愎	ふく:on
愍	ひん:on
愉	ゆ:on
愁	しゅう:on
惹	じゃっ:on
惧	く:on
惜	せき:on
惑	わく:on
悼	とう:on
悸	き:on
悶	もん:on
悲	ひ:on
悩	のう:on
患	かん:on
悛	しゅん:on
悖	はい:on
悍	かん:on
悋	りん:on
悉	しつ:on
恰	かっ:on
恭	きょう:on
恫	どう:on
恨	こん:on
恣	し:on
恢	かい:on
恙	よう:on
恒	こう:on
恐	きょう:on
恋	れん:on
恃	し:on
怪	け:on
急	いそぎ:kun
怠	たい:on
忽	こつ:on
応	のう:on
忘	ぼう:on
徹	てつ:on
徳	とっ:on
律	りち:on
徊	かい:on
径	けい:on
徂	そ:on
征	そ:on
影	えい:on
彰	しょう:on
彫	ちょう:on
彩	さい:on
当	っとう:kun
彎	わん:on
弼	ひつ:on
弱	じゃっ:on
弟	てい:on
弛	し:on
弘	ぐ:on
弑	しい:on
弋	よく:on
廻	ね:on
建	たて:kun
廷	てい:on
廬	ろ:on
廓	かく:on
廉	れん:on
廈	か:on
庸	よう:on
庭	てい:on
度	たく:on
庇	ひ:on
幾	き:on
幽	ゆう:on
幻	げん:on
年	とせ:kun
